product_link,image_url,product_id,description
http://www.anipet.com/product-1.php?item=28992,http://www.anipet.com/prod_images/thumb2-28991-1352133353.jpg,28992,DogSaver Stick Medium 12
http://www.anipet.com/product-1.php?item=28985,http://www.anipet.com/prod_images/thumb2-28984-3-1352141640.jpg,28985,DogSavers PawTrack Small
http://www.anipet.com/product-1.php?item=30132,http://www.anipet.com/prod_images/thumb2-30131-1352138039.jpg,30132,Dogsavers PawTrack With Rope Small
http://www.anipet.com/product-1.php?item=28990,http://www.anipet.com/prod_images/thumb2-28993-1352133944.jpg,28990,DogSavers Retriever With Rope
http://www.anipet.com/product-1.php?item=27407,http://www.anipet.com/prod_images/t-27407.jpg,27407,Extreme Kong - Medium
http://www.anipet.com/product-1.php?item=29513,http://www.anipet.com/prod_images/t-29513.jpg,29513,Extreme Kong - Small
http://www.anipet.com/product-1.php?item=27242,http://www.anipet.com/prod_images/thumb2-27242-1416421416.jpg,27242,Extreme Kong - X-Large
http://www.anipet.com/product-1.php?item=21651,http://www.anipet.com/prod_images/thumb2-21651-1370019604.jpg,21651,Fuzz Cuz Medium
http://www.anipet.com/product-1.php?item=30550,http://www.anipet.com/prod_images/t-30550.jpg,30550,"Gimme Gummy Blue Small 2.5x4"""
http://www.anipet.com/product-1.php?item=30552,http://www.anipet.com/prod_images/t-30550.jpg,30552,"Gimme Gummy Green Large 3x5"""
http://www.anipet.com/product-1.php?item=30553,http://www.anipet.com/prod_images/t-30550.jpg,30553,"Gimme Gummy Purple Large 3x5"""
http://www.anipet.com/product-1.php?item=30551,http://www.anipet.com/prod_images/t-30550.jpg,30551,"Gimme Gummy Tomato Small 2.5x4"""
http://www.anipet.com/product-1.php?item=30554,http://www.anipet.com/prod_images/t-30554.jpg,30554,"Gimme Kitty Green Small 2.5x5"""
http://www.anipet.com/product-1.php?item=30555,http://www.anipet.com/prod_images/t-30555.jpg,30555,"Gimme Kitty Orange Large 4x7.75"""
http://www.anipet.com/product-1.php?item=30586,http://www.anipet.com/prod_images/thumb2-30586-1366997237.jpg,30586,Gimme Octopus Blue
http://www.anipet.com/product-1.php?item=30585,http://www.anipet.com/prod_images/thumb2-30585-1366997095.jpg,30585,Gimme Octopus Pink
http://www.anipet.com/product-1.php?item=21640,http://www.anipet.com/prod_images/thumb2-21640-1370018934.jpg,21640,Good Cuz Large
http://www.anipet.com/product-1.php?item=21638,http://www.anipet.com/prod_images/thumb2-21638-1370018429.jpg,21638,Good Cuz Medium
http://www.anipet.com/product-1.php?item=27226,http://www.anipet.com/prod_images/thumb2-27226-1410454076.jpg,27226,Goodie Bone   Red
http://www.anipet.com/product-1.php?item=26421,http://www.anipet.com/prod_images/thumb2-26421-1410451620.jpg,26421,Goodie Bone - Small
http://www.anipet.com/product-1.php?item=26420,http://www.anipet.com/prod_images/thumb2-26420-1410451254.jpg,26420,Goodie Bone with Rope - X-Small
http://www.anipet.com/product-1.php?item=27225,http://www.anipet.com/prod_images/thumb2-27225-1410453945.jpg,27225,Goodie Xtreme Bone
http://www.anipet.com/product-1.php?item=28547,http://www.anipet.com/prod_images/thumb3-28547-1351196162.jpg,28547,Gumby Large
http://www.anipet.com/product-1.php?item=21653,http://www.anipet.com/prod_images/thumb2-21650-1370038071.jpg,21653,Hol-ee Cuz Large
http://www.anipet.com/product-1.php?item=21652,http://www.anipet.com/prod_images/thumb2-21650-1370037920.jpg,21652,Hol-ee Cuz Medium
http://www.anipet.com/product-1.php?item=21650,http://www.anipet.com/prod_images/thumb2-21650-1370037712.jpg,21650,Hol-ee Cuz Small
http://www.anipet.com/product-1.php?item=21618,http://www.anipet.com/prod_images/thumb2-21617-1370035889.jpg,21618,iSqueak Bone Large
http://www.anipet.com/product-1.php?item=21617,http://www.anipet.com/prod_images/thumb2-21618-1370035781.jpg,21617,iSqueak Bone Medium
http://www.anipet.com/product-1.php?item=21616,http://www.anipet.com/prod_images/thumb2-21616-1370035574.jpg,21616,iSqueak Bone Small
http://www.anipet.com/product-1.php?item=39034,http://www.anipet.com/prod_images/thumb2-39034-1428534172.jpg,39034,Jolly Bone - Blue 6
http://www.anipet.com/product-1.php?item=39036,http://www.anipet.com/prod_images/thumb2-39034-1428534195.jpg,39036,Jolly Bone - Blue 8
http://www.anipet.com/product-1.php?item=39035,http://www.anipet.com/prod_images/thumb2-39035-1428534184.jpg,39035,Jolly Bone - Yellow 6
http://www.anipet.com/product-1.php?item=39037,http://www.anipet.com/prod_images/thumb2-39035-1428534205.jpg,39037,Jolly Bone - Yellow 8
http://www.anipet.com/product-1.php?item=30851,http://www.anipet.com/prod_images/thumb2-30850-52-1410796517.jpg,30851,KONG Bounzer Large
http://www.anipet.com/product-1.php?item=30850,http://www.anipet.com/prod_images/thumb2-30850-52-1410796496.jpg,30850,KONG Bounzer Medium
http://www.anipet.com/product-1.php?item=30852,http://www.anipet.com/prod_images/thumb2-30850-52-1410796540.jpg,30852,KONG Bounzer XLarge
http://www.anipet.com/product-1.php?item=27234,http://www.anipet.com/prod_images/thumb3-27236-1350940314.jpg,27234,KONG Classic Large
