description,image_url1,product_name
"
","http://www.anipet.com/product-1.php?item=prod_images/21678-orange-1391454911.jpg,http://www.anipet.com/product-1.php?item=prod_images/21678-green-1391454898.jpg,http://www.anipet.com/product-1.php?item=prod_images/21678-blue-1391454883.jpg,http://www.anipet.com/product-1.php?item=prod_images/21678-orange-1391454911.jpg,http://www.anipet.com/product-1.php?item=prod_images/21678-green-1391454898.jpg,http://www.anipet.com/product-1.php?item=prod_images/21678-blue-1391454883.jpg",Chompion Light Weight
"
						The idea of a dumbbell-shape has a lot to do with dogs you might call champion chewers. You and your dog will appreciate the Chompion’s durability and its textured nubs to help keep teeth clean, stimulate gums and promote oral health. An exceptional teething, fetch and tug toy. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21611-1370032635.jpg,Chompion Middleweight
"
",http://www.anipet.com/product-1.php?item=prod_images/28698-1410466043.jpg,Classic Tuffy KONG XSmall
"
						Now the Cuz has a new twist! Durable rubber with a ball inside made from water bottle material! Hours of dog playing fun. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21670-1370016316.jpg,Crackle Heads Cuz Large
"
						Now the Cuz has a new twist! Durable rubber with a ball inside made from water bottle material! Hours of dog playing fun. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21668-1370015708.jpg,Crackle Heads Cuz Medium
"
						Now the Cuz has a new twist! Durable rubber with a ball inside made from water bottle material! Hours of dog playing fun. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21670-1370017559.png,Crackle Heads Cuz Small
"
						Available in Yellow, Black, or Red						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21677-1391453197.jpg,Cyberbone Jumbo
"
						Available in Yellow, Black, or Red.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21676-1391452880.jpg,Cyberbone Regular
"
						Available in Yellow, Black, or Red.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21675-1391452243.jpg,Cyberbone Small
"
						Darwin the Frog Large is a squeaky natural rubber ball of amphibian fun for dogs. This chew toy is perfect for games of fetch as Darwin will bounce erratically when thrown --- dogs will have a hopping good time. Dogs and owners alike will love the durable Darwin - he's frogtastic. Suitable for medium and large breed dogs. Available in Green and Blue.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21684-1391459526.jpg,Darwin the Frog Large
"
						JW Darwin the Frog is a squeaky ball of amphibian fun for your dog! Made from natural rubber and infused with vanilla, this toy will bounce erratically when thrown – dogs will have a hopping good time! Dogs and owners alike will love Darwin – he’s frogtastic! 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21621-1370033887.jpg,Darwin the Frog Medium
"
						Natural ball of amphibian fun. This toy will bounce erratically when thrown dogs will have a hopping good time chasing and chewing. Dogs owners alike will love the durable darwin he s frogtastic! Available in Blue, and Green.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21683-1391459269.jpg,Darwin the Frog Small
"
						The large and extra large Dental Kong are bone shaped with hollow interiors designed for holding treats. As dogs try to remove the treats, their teeth and gums are effectively cleaned by the grooves Can also be used with dog toothpaste. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/19745-48-1422311726.png,Dental Kong Large
"
						Kong Dental Stick's are unique in shape to clean your dog's back teeth. Made of soft, durable Kong rubber, fill with Stuff N Paste for a real treat. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/1972-27-1422311599.png,Dental Kong Stick Large
"
						Kong Dental Stick's are unique in shape to clean your dog's back teeth. Made of soft, durable Kong rubber, fill with Stuff N Paste for a real treat. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/1972-27-1422311630.png,Dental Kong Stick Medium
"
						Kong Dental Stick's are unique in shape to clean your dog's back teeth. Made of soft, durable Kong rubber, fill with Stuff N Paste for a real treat. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/1972-27-1422311568.png,Dental Kong Stick Small
"
						The medium and small sizes have Kong's exclusive diamond braid cotton floss rope which effectively removes food debris and reduces plaque and tartar build up. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/19745-48-1422311892.png,Dental Kong With  Rope Medium
"
						The medium and small sizes have Kong's exclusive diamond braid cotton floss rope which effectively removes food debris and reduces plaque and tartar build up. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/19745-48-1422311877.png,Dental Kong With Rope   Small
"
						The large and extra large Dental Kong are bone shaped with hollow interiors designed for holding treats. As dogs try to remove the treats, their teeth and gums are effectively cleaned by the grooves Can also be used with dog toothpaste. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/19745-48-1422311746.png,Dental Kong X-Large
