"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Avalara Product Tax Code"
Product,1875,"Canine Omega-3 (1015)",P,1015,,Ascenta,,Right,,21.95,12.49,0.00,21.95,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",2,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/canine-omega-3-1015/,,,,,,,,,,,,N,
Product,1876,"Pill Buddy Naturals Duck",P,1018,,"Complete Natural Nutrition",,Right,"<p>Pill Buddy Naturals makes pill time a rewarding and easy experience for you and your pet. Pill Buddy Naturals will accommodate almost any size pill or capsule intended for dogs - simply &lsquo;push, squeeze and feed&rsquo;.</p> <p>Pill Buddy Naturals is &lsquo;marinated&rsquo; in an exclusive blend of natural ingredients called Nature&rsquo;s SauceTM. Nature&rsquo;s SauceTM provides excellent mouth-feel, impact and texture; providing a unique surface for the treat to be swallowed whole. This prevents the dog from bitting into bitter tasting medicine and spitting it out.</p> <p>Pill Buddy Naturals are conveniently wrapped in pairs to preserve freshness and functionality and prevent drying and cracking.</p> <p>After the dog finishes its medication, Pill Buddy Naturals can continue to be fed as a delicious soft and chewy treat for all occasions.</p> <p><span>***<span><strong>L</strong></span></span><strong><span><span>i</span></span>ke natural peanut butter, oil separation can occur with Pill Buddy Naturals. This is normal and is not a defect. We choose not to use artificial chemicals. As a result, the healthy blend of oils and fats in Nature&rsquo;s Sauce is super yummy and creates a great feeling in the dog&rsquo;s mouth that they&nbsp;</strong><span><strong>love.</strong><span>***</span></span></p>",8.99,4.40,0.00,8.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",2,0,"Dog/First Aid;Cat/First Aid",8,d/536/CNN_Pill_Buddy_Duck__06668.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/pill-buddy-naturals-duck/,,,,,,,,,,,,N,
Product,1877,"Ears All Right",P,1012,,"Ark Naturals",,Right,"<p>A&nbsp;<span>gentle ear cleaning lotion formulated by an herbal scientist using only premium botanicals.</span></p> <p><span>The inside of your dog&rsquo;s ear is warm and moist. It&rsquo;s a perfect breeding ground for bacteria. Ears All Right&trade; is an all natural botanical formula that works to break down and remove wax, dirt, and foreign debris. Reduces inflammation, irritation, and helps treat mite infestation. Helps heal and prevent infection from minor scratches and insect bites.&nbsp; Relieves issues associated with yeast infections, excessive wax build up, ear odor, and allergies.</span></p> <p><span>Remember...healthy pet ears have no smell!</span></p> <p><span>For pets with sensitive, inflamed, or encrusted ears.</span></p> <p><span>INITIAL USE: Squeeze 5 &ndash; 10 drops directly into the ear canal. &nbsp;Allow to soak, and then attempt to clean ear with clean cotton ball. Repeat 2 &ndash; 3 times a day as needed.</span></p> <p><span>MAINTENANCE: Squeeze onto cotton ball and gently clean and swab ear and ear canal. Clean ear internally and externally. Do not use the same cotton ball or swab in each ear. Always clean pets ears after swimming and bathing and when pet has been playing in insect ridden area.</span></p> <p><span>Never insert swabs or sharp objects into pet&rsquo;s ears.</span></p> <p><span>Active Ingredients:</span></p> <ul> <li><span>Aloe Vera Gel (whole leaf)</span></li> <li><span>Isopropanol USP</span></li> <li><span>Glycerine 99.5%</span></li> <li><span>Calendula extract</span></li> <li><span>Rosemary extract</span></li> <li><span>Myrrh extract</span></li> <li><span>Cinnamon oil</span></li> </ul> <p><span>Inactive Ingredients:</span></p> <ul> <li><span>De-ionized water</span></li> </ul> <p><span>For dogs and cats 12 weeks and older.</span></p>",16.19,9.52,0.00,16.19,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",4,0,Dog/Grooming;Cat/Grooming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/ears-all-right/,,,,,,,,,,,,N,
Product,1878,"Pill Buddy Naturals Chicken",P,1017,,"Complete Natural Nutrition",,Right,"<p>Pill Buddy Naturals makes pill time a rewarding and easy experience for you and your pet. Pill Buddy Naturals will accommodate almost any size pill or capsule intended for dogs - simply &lsquo;push, squeeze and feed&rsquo;.</p> <p>Pill Buddy Naturals is &lsquo;marinated&rsquo; in an exclusive blend of natural ingredients called Nature&rsquo;s SauceTM. Nature&rsquo;s SauceTM provides excellent mouth-feel, impact and texture; providing a unique surface for the treat to be swallowed whole. This prevents the dog from bitting into bitter tasting medicine and spitting it out.</p> <p>Pill Buddy Naturals are conveniently wrapped in pairs to preserve freshness and functionality and prevent drying and cracking.</p> <p>After the dog finishes its medication, Pill Buddy Naturals can continue to be fed as a delicious soft and chewy treat for all occasions.</p> <p><span>***<span><strong>L</strong></span></span><strong><span><span>i</span></span>ke natural peanut butter, oil separation can occur with Pill Buddy Naturals. This is normal and is not a defect. We choose not to use artificial chemicals. As a result, the healthy blend of oils and fats in Nature&rsquo;s Sauce is super yummy and creates a great feeling in the dog&rsquo;s mouth that they&nbsp;</strong><span><strong>love.</strong><span>***</span></span></p>",8.99,4.40,0.00,8.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",4,0,"Dog/First Aid;Cat/First Aid",7,z/962/CNN_Pill_Buddies_Chicken__58109.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/pill-buddy-naturals-chicken/,,,,,,,,,,,,N,
Product,1879,"Gentle Digest",P,1011,,"Ark Naturals",,Right,"<p><span><span>Helps to support a healthy immune system&nbsp;and&nbsp;support intestinal balance. Helpful occasional issues of diarrhea and/or constipation,&nbsp;for periodic issues with gas and flatulence, to&nbsp;support digestion and absorption of critical nutrients&nbsp;and&nbsp;senior pets and pets under stress.&nbsp;</span></span>Made in the USA.</p> <div><span><span>Recommended Use:</span></span></div> <div><span><span>For dogs and cats 12 weeks and older. Helpful to support intestinal balance and a healthy immune system.&nbsp;Helps occasional issues of diarrhea and/or constipation,&nbsp;for periodic issues with gas and flatulence, to&nbsp;support digestion and absorption of critical nutrients&nbsp;and&nbsp;senior pets and pets under stress.</span></span></div> <div>&nbsp;</div> <div><span><span>Under 25 lbs: 1 capsule each day</span></span></div> <div><span><span>Under 50 lbs:&nbsp;2 capsules each day</span></span></div> <div><span><span>Over 50 lbs:&nbsp;3 capsules each day</span></span></div> <div>&nbsp;</div> <div>Product Facts:</div> <div><strong>Probiotic:</strong><span>&nbsp; Bacillus Coagulans providng a minimum of&nbsp;100 million viable (live) spores (at time of&nbsp;manufacture).&nbsp;Microencapsulated spores are heat and stomach acid resistant so they are delivered in a fully viable state</span></div> <div> <p><strong>Prebiotic:</strong>&nbsp;Dried Chicory Root (FOS) acts as a &lsquo;fertilizer&rsquo; and helps increase&nbsp;the growth of good bacteria.&hellip;&hellip;&hellip;&hellip;50 mg</p> </div> <div><span><span>Ingredients:</span></span></div> <div> <ul> <li>Dried Chicory Root</li> <li>Baccilus Coagulans</li> <li>Dicalcium phosphate</li> <li>Gelatin (capsule)</li> <li>Magnesium stearate</li> <li>Rice flour</li> </ul> </div>",11.29,6.67,0.00,11.29,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",4,0,Mens,2,i/518/0000502_gentle-digest__41795.jpg,,N,1,1,d/972/Ark_Naturals_Gentle_Digest__90240.png,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/gentle-digest/,,,,,,,,,,,,N,
Product,1880,"Eyes So Bright",P,1013,,"Ark Naturals",,Right,"<p><span>Gentle eye wash formulated to soothe and maintain healthy eyes.&nbsp; Eyes so Bright&trade; is great for removing foreign debris and encrustation that build up in the mucous membranes of your pet's eyes.&nbsp; Active ingredients include aloe, goldenseal, and echinacea.</span><span><br /></span></p> <p><strong>RECOMMENDED USE:</strong></p> <p>To remove encrustations &amp; foreign debris.&nbsp;For dogs and cats 12 weeks and older.</p> <div><span><strong>INITIAL USE:</strong></span></div> <div>&nbsp;</div> <div>Pour onto clean cotton ball, place over eye area and allow Eyes So Bright&trade; to seep into eye area.&nbsp;Repeat 2 times per day for several days or until there is improvement.</div> <div>&nbsp;</div> <div><strong>MAINTENANCE:</strong></div> <div>&nbsp;</div> <div>Use Eyes So Bright&trade; once each week.&nbsp;To avoid transferring infection, do not use the same cotton ball in each eye.</div> <div>&nbsp;</div> <div><strong>INGREDIENTS:</strong></div> <p>Active Ingredients:</p> <ul> <li><span>Aloe Vera Juice (traditional hand fillet HF, FG)</span></li> <li><span>Witch hazel</span></li> <li><span>Goldenseal golden extract</span></li> <li><span>Gotu kola fluid extract</span></li> <li><span>Echinacea fluid extract</span></li> </ul> <p><span>Inactive Ingredients:</span></p> <ul> <li><span>De-ionized water</span></li> </ul>",21.99,12.96,0.00,21.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",4,0,"Dog/Grooming;Cat/Grooming;Cat/Grooming/Shampoo & Bathing;Dog/Grooming/Shampoo & Bathing",6,m/123/0000474_eyes-so-bright__87966.jpg,,N,1,5,r/838/Ark_Naturals_Eyes_So_Bright__23198.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/eyes-so-bright/,,,,,,,,,,,,N,
Product,1881,"Happy Traveler",P,1014,,"Ark Naturals",,Right,"<p><span>Formulated with the highest quality botanicals, Happy Traveler was designed by a holistic veterinarian and PhD herbal scientist to ease anxiety and motion sickness.&nbsp;Useful for separation anxiety, travel anxiety, to socialize a nervous or excitable pet into a new environment, during thunderstorms, fireworks, airline travel, visits to groomers,&nbsp;and kennels.&nbsp;With your Vet&rsquo;s approval, helps your pet during recovery from surgery/injury by relaxing them to minimize chewing on bandages and sutures.&nbsp;Non-habit forming.&nbsp;No harmful side effects when used as directed. Made in the USA.</span></p> <div><span><span>Recommended Use:</span></span></div> <div><span><span>Up to 25 lbs- 1 capsule</span></span></div> <div><span><span>Up to 75 lbs- 2 capsules&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></span></div> <div><span><span>Over 75 lbs- 3 capsules</span></span></div> <div><span><span>F</span></span><span><span>or dogs and cats 12 weeks and older.&nbsp;</span></span></div> <div>&nbsp;</div> <div><span><span>Active Ingredients:</span></span></div> <div> <ul> <li>Valerian</li> <li>German Chamomile</li> <li>L-Tryptophan</li> <li>St. Johns Wort</li> </ul> </div> <div><span><span>Inactive Ingredients:</span></span></div> <div> <ul> <li>Gelatin (capsule)</li> <li>Magnesium stearate</li> <li>Microcrystalline</li> <li>Cellulose</li> <li>Whey</li> </ul> </div> <p>&nbsp;</p>",11.29,6.67,0.00,11.29,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",2,0,Dog/Supplements;Cat/Supplements,4,g/731/0000486_happy-traveler__64913.jpg,,N,1,3,u/952/Ark_Naturals_Happy_Traveler__76609.jpg,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/happy-traveler/,,,,,,,,,,,,N,
Product,1882,"CraniVores (1019)",P,1019,,Cranimals,,Right,,5.99,4.13,0.00,5.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",2,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/cranivores-1019/,,,,,,,,,,,,N,
Product,1883,"Leash Bag (1024)",P,1024,,Doo-n-Go,,Right,,7.99,3.97,0.00,7.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by product",0,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/leash-bag-1024/,,,,,,,,,,,,N,
Product,1884,"Refill Bags 45 bags / 3 rolls (1030)",P,1030,,Doo-n-Go,Size,Right,,4.29,1.88,0.00,4.29,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by option",17,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/refill-bags-45-bags-3-rolls-1030/,,,,,,,,,,,,N,
