image_url1,product_name,description
['http://www.anipet.com/product-1.php?item=prod_images/10623-1384541498.jpg'],Cargo Mat - Gray Universal Fit,"
						This single layer 600 denier mat is designed to fit an SUV with the 2nd and 3rd bench seat down. Darted corners make this mat easy to fit any vehicle. Webbing straps and hook strips, hang over headrest and adhere to carpet to keep the mat in place. Easy installation. Available in 2 colors to match most interiors.						
												
						"
['http://www.anipet.com/product-1.php?item=prod_images/10620-1384541069.jpg'],Cargo Mat - Tan Universal Fit,"
						This single layer 600 denier mat is designed to fit an SUV with the 2nd and 3rd bench seat down. Darted corners make this mat easy to fit any vehicle. Webbing straps and hook strips, hang over headrest and adhere to carpet to keep the mat in place. Easy installation. Available in 2 colors to match most interiors.						
												
						"
